STS_ID,STS_ID_CONSTR1,STS_ID_CONSTR2,STS_ID_WEIGHT,CONSTRUCTION_TYPE,GROWTH_RATE_FREQ,GROWTH_TYPE,AGGREGATION,THRESHOLD_PROP,THRESHOLD_COUNTRIES,SCALING,COMMENTS
OA.TPBS.POP.PPL.NO,,,,,,,sum,0.65,0,,
OA.TPBS.POP.PPL.GR10,OA.TPBS.POP.PPL.NO,,OA.TPBS.POP.PPL.NO,growth,10,geo,weighted.mean,0.65,0,,
OA.TPM.POP.PPL.NO,,,,,,,sum,0.65,0,,
OA.TPM.POP.PPL.SHP,OA.TPM.POP.PPL.NO,OA.TPBS.POP.PPL.NO,OA.TPBS.POP.PPL.NO,share,,,weighted.mean,0.65,0,100,
OA.TPF.POP.PPL.NO,,,,,,,sum,0.65,0,,
OA.TPF.POP.PPL.SHP,OA.TPF.POP.PPL.NO,OA.TPBS.POP.PPL.NO,OA.TPBS.POP.PPL.NO,share,,,weighted.mean,0.65,0,100,
OA.TPU.POP.PPL.NO,,,,,,,sum,0.65,0,,
OA.TPU.POP.PPL.SHP,OA.TPU.POP.PPL.NO,OA.TPBS.POP.PPL.NO,OA.TPBS.POP.PPL.NO,share,,,weighted.mean,0.65,0,100,
OA.TPU.POP.PPL.GR10,OA.TPU.POP.PPL.NO,,OA.TPU.POP.PPL.NO,growth,10,geo,weighted.mean,0.65,0,,
OA.TPR.POP.PPL.NO,,,,,,,sum,0.65,0,,
OA.TPR.POP.PPL.SHP,OA.TPR.POP.PPL.NO,OA.TPBS.POP.PPL.NO,OA.TPBS.POP.PPL.NO,share,,,weighted.mean,0.65,0,100,
OA.TPR.POP.PPL.GR10,OA.TPR.POP.PPL.NO,,OA.TPR.POP.PPL.NO,growth,10,geo,weighted.mean,0.65,0,,
OA.TEAPT.POP.PPL.NO,,,,,,,sum,0.65,0,,
OA.TEAPM.POP.PPL.NO,,,,,,,sum,0.65,0,,
OA.TEAPF.POP.PPL.NO,,,,,,,sum,0.65,0,,
OA.TEAPTA.POP.PPL.NO,,,,,,,sum,0.65,0,,
OA.TEAPMA.POP.PPL.NO,,,,,,,sum,0.65,0,,
OA.TEAPFA.POP.PPL.NO,,,,,,,sum,0.65,0,,
AG.LND.TOTL.K2,,,,,,,sum,0.65,0,,used to weight density
EN.POP.DNST,,,AG.LND.TOTL.K2,,,,weighted.mean,0.65,0,,WB computes aggregates deriving the already aggregated components
EN.URB.LCTY,,,,,,,discard,0.65,0,,WB doesn't aggregate this variable
EN.URB.LCTY.UR.ZS,,,OA.TPU.POP.PPL.NO,,,,weighted.mean,0.65,0,,
EN.URB.MCTY,,,,,,,discard,0.65,0,,WB doesn't aggregate this variable
EN.URB.MCTY.TL.ZS,,,OA.TPBS.POP.PPL.NO,,,,weighted.mean,0.65,0,,WB computes aggregates deriving the already aggregated components
EN.POP.EL5M.ZS,,,OA.TPBS.POP.PPL.NO,,,,weighted.mean,0.65,0,,WB doesn't specify this
SP.POP.TOTL.FE.ZS,,,OA.TPBS.POP.PPL.NO,,,,weighted.mean,0.65,0,,
SP.POP.DPND,,,OA.TPBS.POP.PPL.NO,,,,weighted.mean,0.65,0,,
UN.POP.AGE64,,,,,,,sum,0.65,0,,
UN.POP.AGE014,,,,,,,sum,0.65,0,,
UN.POP.FEMALE,,,,,,,sum,0.65,0,,
UN.POP.MALE,,,,,,,sum,0.65,0,,
SP.DYN.LE00.IN,,,OA.TPBS.POP.PPL.NO,,,,weighted.mean,0.65,0,,
SP.DYN.LE00.IN.CH,SP.DYN.LE00.IN,,SP.DYN.LE00.IN,change,11,ch,weighted.mean,0.65,0,,
SP.DYN.CBRT.IN,,,OA.TPBS.POP.PPL.NO,,,,weighted.mean,0.65,0,,used just to compute the mortality rate weight
MORTWEIGHT,,,,manual,,,sum,0.65,0,,mortality rate weight ('SP.DYN.CBRT.IN' * 'SP.OA.TPBS.POP.PPL.NOL')/1000)
SP.DYN.IMRT.IN,,,MORTWEIGHT,,,,weighted.mean,0.65,0,,
SH.DYN.MORT,,,MORTWEIGHT,,,,weighted.mean,0.65,0,,
NY.GNP.PCAP.CD,,,OA.TPBS.POP.PPL.NO,,,,weighted.mean,0.65,0,,WB computes aggregates deriving the already aggregated components
CP.D.ATLAS.GNP,,,,,,,sum,0.65,0,,
NV.AGR.TOTL.ZS,,,CP.D.ATLAS.GNP,,,,weighted.mean,0.65,0,,
NV.IND.TOTL.ZS,,,CP.D.ATLAS.GNP,,,,weighted.mean,0.65,0,,
NV.SRV.TETC.ZS,,,CP.D.ATLAS.GNP,,,,weighted.mean,0.65,0,,
NE.TRD.GNFS.ZS,,,CP.D.ATLAS.GNP,,,,weighted.mean,0.65,0,,
BX.KLT.DINV.WD.GD.ZS,,,NY.GDP.MKTP.CD,,,,weighted.mean,0.65,0,,
NY.GDP.MKTP.CD,,,,,,,sum,0.65,0,,"in WB seems weighted by CP.$.ATLAS.GNP, but it is a sum!!!"
NY.GNP.MKTP.CD,,,,,,,sum,0.65,0,,used as weight
DT.ODA.ALLD.CD,,,,,,,sum,0.65,0,,
DT.ODA.ALLD.CD.SH,DT.ODA.ALLD.CD,NY.GNP.MKTP.CD,NY.GNP.MKTP.CD,share,,,weighted.mean,0.65,0,,
EN.AGR.EMPL,,,,,,,discard,0.65,0,,used as weight
