STS_ID,TITLE_STS,TITLE_STS_SHORT,UNIT_MULT,UNIT_MEASURE,DEFINITION,OWNER,SOURCE,DATA_TYPE,SQL_DOMAIN_CODE,SQL_ELEMENT_CODE,SQL_ITEM_CODE,WDINAME,COMMENTS,TOPIC
OA.TPBS.POP.PPL.NO,"Population, total",Population,thousand,people,"Total population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship--except for refugees not permanently settled in the country of asylum, who are generally considered part of the population of their country of origin. The values shown are midyear estimates.",World Population Prospects: The 2012 Revision from the UN Population Division,"FAO, Statistics Division (FAOSTAT)",raw,OA,511,3010,,,demography
OA.TPBS.POP.PPL.GR10,Population annual growth (percent),Population,,percent,,,"FAO, Statistics Division (FAOSTAT)",processed,,,,,,demography
OA.TPM.POP.PPL.NO,"Male population, total",Male,thousand,people,Male population.,"United Nations Population Division, World Population Prospects.","FAO, Statistics Division (FAOSTAT)",raw,OA,512,3010,,,demography
OA.TPM.POP.PPL.SHP,Male population (share of total population),Male,,percent,,,,processed,,,,,,demography
OA.TPF.POP.PPL.NO,"Female population, total",Female,thousand,people,Female population.,"United Nations Population Division, World Population Prospects.","FAO, Statistics Division (FAOSTAT)",raw,OA,513,3010,,,demography
OA.TPF.POP.PPL.SHP,Female population (share of total population),Female,,percent,,,,processed,,,,,,demography
OA.TPU.POP.PPL.NO,"Urban population, total",Urban,thousand,people,Urban population refers to people living in urban areas as defined by national statistical offices.,"United Nations Population Division, World Urbanization Prospects.","FAO, Statistics Division (FAOSTAT)",raw,OA,561,3010,,,demography
OA.TPU.POP.PPL.SHP,Urban population (share of total population),Urban,,percent,,,,processed,,,,,,demography
OA.TPU.POP.PPL.GR10,Urban population annual growth (percent),Urban,,percent,,,"FAO, Statistics Division (FAOSTAT)",processed,,,,,,demography
OA.TPR.POP.PPL.NO,"Rural population, total",Rural,thousand,people,Rural population refers to people living in rural areas as defined by national statistical offices.,"United Nations Population Division, World Urbanization Prospects.","FAO, Statistics Division (FAOSTAT)",raw,OA,551,3010,,,demography
OA.TPR.POP.PPL.SHP,Rural population (share of total population),Rural,,percent,,,,processed,,,,,,demography
OA.TPR.POP.PPL.GR10,Rural population annual growth (percent),Rural,,percent,,,,processed,,,,,,demography
OA.TEAPT.POP.PPL.NO,Total economically active population,Total,thousand,people,,"ILO, laborsta","FAO, Statistics Division (FAOSTAT)",raw,OA,591,3010,,,demography
OA.TEAPM.POP.PPL.NO,Male economically active population,Male,thousand,people,,"ILO, laborsta","FAO, Statistics Division (FAOSTAT)",raw,OA,592,3010,,,demography
OA.TEAPF.POP.PPL.NO,Female economically active population,Female,thousand,people,,"ILO, laborsta","FAO, Statistics Division (FAOSTAT)",raw,OA,593,3010,,,demography
OA.TEAPTA.POP.PPL.NO,Total economically active population in agr.,Total,thousand,people,,"ILO, laborsta","FAO, Statistics Division (FAOSTAT)",raw,OA,601,3010,,,demography
OA.TEAPMA.POP.PPL.NO,Male economically active population in agr.,Male,thousand,people,,"ILO, laborsta","FAO, Statistics Division (FAOSTAT)",raw,OA,602,3010,,,demography
OA.TEAPFA.POP.PPL.NO,Female economically active population in agr.,Female,thousand,people,,"ILO, laborsta","FAO, Statistics Division (FAOSTAT)",raw,OA,603,3010,,,demography
AG.LND.TOTL.K2,Land area (sq. km),Land area,,km2,"Land area is a country's total area, excluding area under inland water bodies, national claims to continental shelf, and exclusive economic zones. In most cases the definition of inland water bodies includes major rivers and lakes.","Food and Agriculture Organization, electronic files and web site.",World Bank (WDI),raw,,,,AG.LND.TOTL.K2,,demography
EN.POP.DNST,Population density (people per sq. km of land area),Population density,,people/km2,"Population density is midyear population divided by land area in square kilometers. Population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship--except for refugees not permanently settled in the country of asylum, who are generally considered part of the population of their country of origin. Land area is a country's total area, excluding area under inland water bodies, national claims to continental shelf, and exclusive economic zones. In most cases the definition of inland water bodies includes major rivers and lakes.",Food and Agriculture Organization and World Bank population estimates.,World Bank (WDI),raw,,,,EN.POP.DNST,,demography
