"","STS_ID","STS_ID_CONSTR1","STS_ID_CONSTR2","STS_ID_WEIGHT","CONSTRUCTION_TYPE","GROWTH_RATE_FREQ","GROWTH_TYPE","AGGREGATION","THRESHOLD_PROP","THRESHOLD_COUNTRIES","SCALING","COMMENTS_construction","TITLE_STS","TITLE_STS_SHORT","UNIT_MULT","UNIT_MEASURE","DEFINITION","OWNER","SOURCE","DATA_TYPE","SQL_DOMAIN_CODE","SQL_ELEMENT_CODE","SQL_ITEM_CODE","WDINAME","COMMENTS_metadata","TOPIC","[EMPTY]"
"1","OA.TPBS.POP.PPL.NO","","","","",NA,"","sum",0,0,NA,"","Population, total","Population","thousand","people","Total population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship--except for refugees not permanently settled in the country of asylum, who are generally considered part of the population of their country of origin. The values shown are midyear estimates.","World Population Prospects: The 2012 Revision from the UN Population Division","FAO, Statistics Division (FAOSTAT)","raw","OA",511,3010,"","","demography",NA
"2","OA.TPBS.POP.PPL.GR10","OA.TPBS.POP.PPL.NO","","OA.TPBS.POP.PPL.NO","growth",10,"geo","weighted.mean",0,0,NA,"","Population annual growth (percent)","Population","","percent","","","FAO, Statistics Division (FAOSTAT)","processed","",NA,NA,"","","demography",NA
"3","OA.TPM.POP.PPL.NO","","","","",NA,"","sum",0,0,NA,"","Male population, total","Male","thousand","people","Male population.","United Nations Population Division, World Population Prospects.","FAO, Statistics Division (FAOSTAT)","raw","OA",512,3010,"","","demography",NA
"4","OA.TPM.POP.PPL.SHP","OA.TPM.POP.PPL.NO","OA.TPBS.POP.PPL.NO","OA.TPBS.POP.PPL.NO","share",NA,"","weighted.mean",0,0,100,"","Male population (share of total population)","Male","","percent","","","","processed","",NA,NA,"","","demography",NA
"5","OA.TPF.POP.PPL.NO","","","","",NA,"","sum",0,0,NA,"","Female population, total","Female","thousand","people","Female population.","United Nations Population Division, World Population Prospects.","FAO, Statistics Division (FAOSTAT)","raw","OA",513,3010,"","","demography",NA
"6","OA.TPF.POP.PPL.SHP","OA.TPF.POP.PPL.NO","OA.TPBS.POP.PPL.NO","OA.TPBS.POP.PPL.NO","share",NA,"","weighted.mean",0,0,100,"","Female population (share of total population)","Female","","percent","","","","processed","",NA,NA,"","","demography",NA
"7","OA.TPU.POP.PPL.NO","","","","",NA,"","sum",0,0,NA,"","Urban population, total","Urban","thousand","people","Urban population refers to people living in urban areas as defined by national statistical offices.","United Nations Population Division, World Urbanization Prospects.","FAO, Statistics Division (FAOSTAT)","raw","OA",561,3010,"","","demography",NA
"8","OA.TPU.POP.PPL.SHP","OA.TPU.POP.PPL.NO","OA.TPBS.POP.PPL.NO","OA.TPBS.POP.PPL.NO","share",NA,"","weighted.mean",0,0,100,"","Urban population (share of total population)","Urban","","percent","","","","processed","",NA,NA,"","","demography",NA
"9","OA.TPU.POP.PPL.GR10","OA.TPU.POP.PPL.NO","","OA.TPU.POP.PPL.NO","growth",10,"geo","weighted.mean",0,0,NA,"","Urban population annual growth (percent)","Urban","","percent","","","FAO, Statistics Division (FAOSTAT)","processed","",NA,NA,"","","demography",NA
"10","OA.TPR.POP.PPL.NO","","","","",NA,"","sum",0,0,NA,"","Rural population, total","Rural","thousand","people","Rural population refers to people living in rural areas as defined by national statistical offices.","United Nations Population Division, World Urbanization Prospects.","FAO, Statistics Division (FAOSTAT)","raw","OA",551,3010,"","","demography",NA
