Country or Area Code,Country or Area,Commodity - Transaction,Year,Unit,Quantity,Quantity Footnotes
76,Brazil,Alcohol - consumption for non-energy uses,2010,"Metric tons,  thousand",916,
76,Brazil,Alcohol - consumption for non-energy uses,2009,"Metric tons,  thousand",1159,
76,Brazil,Alcohol - consumption for non-energy uses,2008,"Metric tons,  thousand",1220,
76,Brazil,Alcohol - consumption for non-energy uses,2007,"Metric tons,  thousand",547,
76,Brazil,Alcohol - consumption for non-energy uses,2006,"Metric tons,  thousand",918,
76,Brazil,Alcohol - consumption for non-energy uses,2005,"Metric tons,  thousand",560,
76,Brazil,Alcohol - consumption for non-energy uses,2004,"Metric tons,  thousand",811,
76,Brazil,Alcohol - consumption for non-energy uses,2003,"Metric tons,  thousand",720,
76,Brazil,Alcohol - consumption for non-energy uses,2002,"Metric tons,  thousand",744,
76,Brazil,Alcohol - consumption for non-energy uses,2001,"Metric tons,  thousand",1064,
76,Brazil,Alcohol - consumption for non-energy uses,2000,"Metric tons,  thousand",997,
76,Brazil,Alcohol - consumption for non-energy uses,1999,"Metric tons,  thousand",955,
76,Brazil,Alcohol - consumption for non-energy uses,1998,"Metric tons,  thousand",950,
76,Brazil,Alcohol - consumption for non-energy uses,1997,"Metric tons,  thousand",828,
76,Brazil,Alcohol - consumption for non-energy uses,1996,"Metric tons,  thousand",908,
76,Brazil,Alcohol - consumption for non-energy uses,1995,"Metric tons,  thousand",964,
76,Brazil,Alcohol - consumption for non-energy uses,1994,"Metric tons,  thousand",847,
76,Brazil,Alcohol - consumption for non-energy uses,1993,"Metric tons,  thousand",718,
76,Brazil,Alcohol - consumption for non-energy uses,1992,"Metric tons,  thousand",565,
76,Brazil,Alcohol - consumption for non-energy uses,1991,"Metric tons,  thousand",557,
76,Brazil,Alcohol - consumption for non-energy uses,1990,"Metric tons,  thousand",776,
188,Costa Rica,Alcohol - consumption for non-energy uses,1997,"Metric tons,  thousand",7,1
188,Costa Rica,Alcohol - consumption for non-energy uses,1996,"Metric tons,  thousand",1,
188,Costa Rica,Alcohol - consumption for non-energy uses,1995,"Metric tons,  thousand",6,
188,Costa Rica,Alcohol - consumption for non-energy uses,1994,"Metric tons,  thousand",4,
188,Costa Rica,Alcohol - consumption for non-energy uses,1993,"Metric tons,  thousand",2,
188,Costa Rica,Alcohol - consumption for non-energy uses,1992,"Metric tons,  thousand",5,
188,Costa Rica,Alcohol - consumption for non-energy uses,1991,"Metric tons,  thousand",3,
188,Costa Rica,Alcohol - consumption for non-energy uses,1990,"Metric tons,  thousand",11,
