Country or Area Code,Country or Area,Commodity - Transaction,Year,Unit,Quantity,Quantity Footnotes
28,Antigua and Barbuda,Alcohol - production,1997,"Metric tons,  thousand",98,1
28,Antigua and Barbuda,Alcohol - production,1996,"Metric tons,  thousand",98,1
28,Antigua and Barbuda,Alcohol - production,1995,"Metric tons,  thousand",98,1
28,Antigua and Barbuda,Alcohol - production,1994,"Metric tons,  thousand",98,1
28,Antigua and Barbuda,Alcohol - production,1993,"Metric tons,  thousand",98,1
28,Antigua and Barbuda,Alcohol - production,1992,"Metric tons,  thousand",97,1
28,Antigua and Barbuda,Alcohol - production,1991,"Metric tons,  thousand",97,1
28,Antigua and Barbuda,Alcohol - production,1990,"Metric tons,  thousand",95,1
36,Australia,Alcohol - production,2010,"Metric tons,  thousand",349,
36,Australia,Alcohol - production,2009,"Metric tons,  thousand",265,
36,Australia,Alcohol - production,2008,"Metric tons,  thousand",189,
36,Australia,Alcohol - production,2007,"Metric tons,  thousand",106,
36,Australia,Alcohol - production,2006,"Metric tons,  thousand",53,
36,Australia,Alcohol - production,2005,"Metric tons,  thousand",17,
36,Australia,Alcohol - production,2004,"Metric tons,  thousand",0,
36,Australia,Alcohol - production,2003,"Metric tons,  thousand",0,
36,Australia,Alcohol - production,2002,"Metric tons,  thousand",0,
36,Australia,Alcohol - production,2001,"Metric tons,  thousand",0,
36,Australia,Alcohol - production,2000,"Metric tons,  thousand",0,
40,Austria,Alcohol - production,2010,"Metric tons,  thousand",189,
40,Austria,Alcohol - production,2009,"Metric tons,  thousand",251,
40,Austria,Alcohol - production,2008,"Metric tons,  thousand",209,
40,Austria,Alcohol - production,2007,"Metric tons,  thousand",136,
40,Austria,Alcohol - production,2006,"Metric tons,  thousand",93,
40,Austria,Alcohol - production,2005,"Metric tons,  thousand",63,
40,Austria,Alcohol - production,2004,"Metric tons,  thousand",42,
40,Austria,Alcohol - production,2003,"Metric tons,  thousand",24,
40,Austria,Alcohol - production,2002,"Metric tons,  thousand",23,
40,Austria,Alcohol - production,2001,"Metric tons,  thousand",22,
40,Austria,Alcohol - production,2000,"Metric tons,  thousand",20,
40,Austria,Alcohol - production,1999,"Metric tons,  thousand",18,
40,Austria,Alcohol - production,1998,"Metric tons,  thousand",16,
56,Belgium,Alcohol - production,2010,"Metric tons,  thousand",126,
56,Belgium,Alcohol - production,2009,"Metric tons,  thousand",161,
56,Belgium,Alcohol - production,2008,"Metric tons,  thousand",46,
56,Belgium,Alcohol - production,2007,"Metric tons,  thousand",38,
56,Belgium,Alcohol - production,2006,"Metric tons,  thousand",33,
56,Belgium,Alcohol - production,2005,"Metric tons,  thousand",19,
56,Belgium,Alcohol - production,2004,"Metric tons,  thousand",0,
56,Belgium,Alcohol - production,2003,"Metric tons,  thousand",0,
56,Belgium,Alcohol - production,2002,"Metric tons,  thousand",0,
56,Belgium,Alcohol - production,2001,"Metric tons,  thousand",0,
76,Brazil,Alcohol - production,2010,"Metric tons,  thousand",22440,
76,Brazil,Alcohol - production,2009,"Metric tons,  thousand",20991,
76,Brazil,Alcohol - production,2008,"Metric tons,  thousand",21784,
76,Brazil,Alcohol - production,2007,"Metric tons,  thousand",18100,
76,Brazil,Alcohol - production,2006,"Metric tons,  thousand",14229,
76,Brazil,Alcohol - production,2005,"Metric tons,  thousand",12829,
76,Brazil,Alcohol - production,2004,"Metric tons,  thousand",11709,
76,Brazil,Alcohol - production,2003,"Metric tons,  thousand",11547,
76,Brazil,Alcohol - production,2002,"Metric tons,  thousand",10056,
76,Brazil,Alcohol - production,2001,"Metric tons,  thousand",9159,
76,Brazil,Alcohol - production,2000,"Metric tons,  thousand",8555,
76,Brazil,Alcohol - production,1999,"Metric tons,  thousand",10390,
76,Brazil,Alcohol - production,1998,"Metric tons,  thousand",11322,
76,Brazil,Alcohol - production,1997,"Metric tons,  thousand",12433,
76,Brazil,Alcohol - production,1996,"Metric tons,  thousand",11355,
76,Brazil,Alcohol - production,1995,"Metric tons,  thousand",10257,
76,Brazil,Alcohol - production,1994,"Metric tons,  thousand",10073,
76,Brazil,Alcohol - production,1993,"Metric tons,  thousand",9173,
76,Brazil,Alcohol - production,1992,"Metric tons,  thousand",9479,
76,Brazil,Alcohol - production,1991,"Metric tons,  thousand",10369,
76,Brazil,Alcohol - production,1990,"Metric tons,  thousand",9303,
100,Bulgaria,Alcohol - production,2010,"Metric tons,  thousand",0,
100,Bulgaria,Alcohol - production,2009,"Metric tons,  thousand",0,
100,Bulgaria,Alcohol - production,2008,"Metric tons,  thousand",2,
100,Bulgaria,Alcohol - production,2007,"Metric tons,  thousand",4,
100,Bulgaria,Alcohol - production,2006,"Metric tons,  thousand",9,
100,Bulgaria,Alcohol - production,2005,"Metric tons,  thousand",0,
100,Bulgaria,Alcohol - production,2004,"Metric tons,  thousand",0,
100,Bulgaria,Alcohol - production,2003,"Metric tons,  thousand",0,
100,Bulgaria,Alcohol - production,2002,"Metric tons,  thousand",0,
