Country or Area Code,Country or Area,Commodity - Transaction,Year,Unit,Quantity,Quantity Footnotes
24,Angola,Bagasse - production,2000,"Metric tons,  thousand",0,1
24,Angola,Bagasse - production,1999,"Metric tons,  thousand",104,
24,Angola,Bagasse - production,1998,"Metric tons,  thousand",104,
24,Angola,Bagasse - production,1997,"Metric tons,  thousand",91,
24,Angola,Bagasse - production,1996,"Metric tons,  thousand",82,
24,Angola,Bagasse - production,1995,"Metric tons,  thousand",98,
24,Angola,Bagasse - production,1994,"Metric tons,  thousand",65,
24,Angola,Bagasse - production,1993,"Metric tons,  thousand",65,
24,Angola,Bagasse - production,1992,"Metric tons,  thousand",82,
24,Angola,Bagasse - production,1991,"Metric tons,  thousand",98,
24,Angola,Bagasse - production,1990,"Metric tons,  thousand",82,
28,Antigua and Barbuda,Bagasse - production,1997,"Metric tons,  thousand",0,
28,Antigua and Barbuda,Bagasse - production,1996,"Metric tons,  thousand",0,
28,Antigua and Barbuda,Bagasse - production,1995,"Metric tons,  thousand",0,
28,Antigua and Barbuda,Bagasse - production,1994,"Metric tons,  thousand",0,
28,Antigua and Barbuda,Bagasse - production,1993,"Metric tons,  thousand",0,
28,Antigua and Barbuda,Bagasse - production,1992,"Metric tons,  thousand",0,
28,Antigua and Barbuda,Bagasse - production,1991,"Metric tons,  thousand",0,
28,Antigua and Barbuda,Bagasse - production,1990,"Metric tons,  thousand",0,
32,Argentina,Bagasse - production,2010,"Metric tons,  thousand",6610,
32,Argentina,Bagasse - production,2009,"Metric tons,  thousand",7229,
32,Argentina,Bagasse - production,2008,"Metric tons,  thousand",7229,
32,Argentina,Bagasse - production,2007,"Metric tons,  thousand",7711,
32,Argentina,Bagasse - production,2006,"Metric tons,  thousand",6631,
32,Argentina,Bagasse - production,2005,"Metric tons,  thousand",5112,
32,Argentina,Bagasse - production,2004,"Metric tons,  thousand",6054,
32,Argentina,Bagasse - production,2003,"Metric tons,  thousand",6362,
32,Argentina,Bagasse - production,2002,"Metric tons,  thousand",5477,
32,Argentina,Bagasse - production,2001,"Metric tons,  thousand",5314,
32,Argentina,Bagasse - production,2000,"Metric tons,  thousand",5151,
32,Argentina,Bagasse - production,1999,"Metric tons,  thousand",6135,
32,Argentina,Bagasse - production,1998,"Metric tons,  thousand",5703,
32,Argentina,Bagasse - production,1997,"Metric tons,  thousand",5376,
32,Argentina,Bagasse - production,1996,"Metric tons,  thousand",4543,
32,Argentina,Bagasse - production,1995,"Metric tons,  thousand",5256,
32,Argentina,Bagasse - production,1994,"Metric tons,  thousand",3920,
32,Argentina,Bagasse - production,1993,"Metric tons,  thousand",3562,
32,Argentina,Bagasse - production,1992,"Metric tons,  thousand",4497,
