Country or Area Code,Country or Area,Commodity - Transaction,Year,Unit,Quantity,Quantity Footnotes
32,Argentina,Vegetal waste - production,2010,"Metric tons,  thousand",3074.96,
32,Argentina,Vegetal waste - production,2009,"Metric tons,  thousand",3364.24,
32,Argentina,Vegetal waste - production,2008,"Metric tons,  thousand",3364.24,
32,Argentina,Vegetal waste - production,2007,"Metric tons,  thousand",3396.32,
32,Argentina,Vegetal waste - production,2006,"Metric tons,  thousand",3322.64,
32,Argentina,Vegetal waste - production,2005,"Metric tons,  thousand",2378.08,
32,Argentina,Vegetal waste - production,2004,"Metric tons,  thousand",2175.92,
32,Argentina,Vegetal waste - production,2003,"Metric tons,  thousand",2509.84,
32,Argentina,Vegetal waste - production,2002,"Metric tons,  thousand",2264.24,
32,Argentina,Vegetal waste - production,2001,"Metric tons,  thousand",3048,
32,Argentina,Vegetal waste - production,1994,"Metric tons,  thousand",3525,
32,Argentina,Vegetal waste - production,1993,"Metric tons,  thousand",3195,
32,Argentina,Vegetal waste - production,1992,"Metric tons,  thousand",3319,
32,Argentina,Vegetal waste - production,1991,"Metric tons,  thousand",3762,
32,Argentina,Vegetal waste - production,1990,"Metric tons,  thousand",3230,
36,Australia,Vegetal waste - production,2010,"Metric tons,  thousand",7602.4,
36,Australia,Vegetal waste - production,2009,"Metric tons,  thousand",8417.12,
36,Australia,Vegetal waste - production,2008,"Metric tons,  thousand",8719.68,
36,Australia,Vegetal waste - production,2007,"Metric tons,  thousand",8161.84,
36,Australia,Vegetal waste - production,2006,"Metric tons,  thousand",8506.32,
36,Australia,Vegetal waste - production,2005,"Metric tons,  thousand",8010.64,
36,Australia,Vegetal waste - production,2004,"Metric tons,  thousand",7447.28,
36,Australia,Vegetal waste - production,2003,"Metric tons,  thousand",7614.96,
36,Australia,Vegetal waste - production,2002,"Metric tons,  thousand",8957.6,
36,Australia,Vegetal waste - production,2001,"Metric tons,  thousand",7110.48,
36,Australia,Vegetal waste - production,2000,"Metric tons,  thousand",8611.12,
36,Australia,Vegetal waste - production,1999,"Metric tons,  thousand",8488.64,
36,Australia,Vegetal waste - production,1998,"Metric tons,  thousand",8520.4,
36,Australia,Vegetal waste - production,1997,"Metric tons,  thousand",8319.12,
36,Australia,Vegetal waste - production,1996,"Metric tons,  thousand",7716.8,
36,Australia,Vegetal waste - production,1995,"Metric tons,  thousand",6943.12,
36,Australia,Vegetal waste - production,1994,"Metric tons,  thousand",6396.08,
36,Australia,Vegetal waste - production,1993,"Metric tons,  thousand",5927.84,
36,Australia,Vegetal waste - production,1992,"Metric tons,  thousand",4829.12,
36,Australia,Vegetal waste - production,1991,"Metric tons,  thousand",5944.32,
36,Australia,Vegetal waste - production,1990,"Metric tons,  thousand",6221.44,
40,Austria,Vegetal waste - production,2010,"Metric tons,  thousand",7005.12,
40,Austria,Vegetal waste - production,2009,"Metric tons,  thousand",6142.24,
40,Austria,Vegetal waste - production,2008,"Metric tons,  thousand",6346.32,
40,Austria,Vegetal waste - production,2007,"Metric tons,  thousand",5720.16,
40,Austria,Vegetal waste - production,2006,"Metric tons,  thousand",4159.76,
40,Austria,Vegetal waste - production,2005,"Metric tons,  thousand",4579.28,
40,Austria,Vegetal waste - production,2004,"Metric tons,  thousand",3513.04,
40,Austria,Vegetal waste - production,2003,"Metric tons,  thousand",3621.36,
40,Austria,Vegetal waste - production,2002,"Metric tons,  thousand",2733.36,
40,Austria,Vegetal waste - production,2001,"Metric tons,  thousand",2308,
