UNcode,CountryName,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
4,Afghanistan,170,170,170,170,170,170,170,170,170,170,300,300,300,300,300,300,300,300,300,300,300,450,450,450,450,450,450,1050,1050,1050,1050,1050,1050
8,Albania,339,455,699,1162,1197,1208,2165,2368,3732,2604,4961,859,397,389,395,340,323,97,124,310,307,286,860,1473,1569,1473,2057,2092,2000,2317,2504,2022,2034
12,Algeria,0,0,0,2,95,141,250,274,304,368,407,150,147,300,389,369,322,322,283,250,351,454,476,417,586,368,288,405,2780,2163,1759,2244,2648
24,Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,51,72,92,126,156,190,190,260,310,410,450
32,Argentina,90,105,123,143,150,270,270,353,353,300,300,350,402,707,763,1474,1322,1314,1040,1218,1784,1340,1457,1647,1848,2057,2528,2957,2700,2583,2654,3193,2958
51,Armenia,0,0,0,0,0,0,0,0,4598,4604,5057,2637,2565,2250,1570,1120,650,670,437,889,893,1331,1020,1064,813,739,1056,3650,5100,5240,5000,6300,8850
533,Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
36,Australia,8994,9185,8841,9056,8785,9534,9083,9660,13080,13685,12401,14327,16422,18359,19129,22395,25323,26637,24618,29303,31746,35403,38566,38793,44142,42787,49376,55799,58912,65085,71667,71583,80004
40,Austria,3200,3200,3100,3600,4000,4100,4060,4000,4500,4450,3126,3135,3140,3140,3103,2918,2949,3018,2909,3067,2847,2393,2333,2233,2267,2420,2503,2539,2087,2141,2167,2904,2971
31,Azerbaijan,0,0,0,0,0,0,0,0,1656,1621,1216,2176,1690,1201,1038,516,419,364,211,216,140,95,80,130,350,500,600,900,1000,1000,1000,517,366
44,Bahamas,0,0,0,0,10,42,42,37,51,69,49,6,10,8,4,24,1,1,1,1,2,13,25,42,10,10,22,0,0,2,0,0,0
48,Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,1,3,12,0,3,4,8,3,2,1,2,2,3,3,1
50,Bangladesh,91030,96780,101630,107000,117025,123811,144723,166100,175925,183505,192592,210993,226863,237743,264190,317073,379087,485864,574812,593202,657120,712640,786604,856956,914752,882091,892049,945812,1005542,1064285,1308515,1523759,1726066
52,Barbados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,11,11
112,Belarus,0,0,0,0,0,0,0,0,16152,17817,16638,14750,8415,7018,6934,5463,6038,4322,4727,4824,6716,4666,6523,5393,4150,5648,8406,14091,14636,15659,16265,16293,15499
56,Belgium,90,147,203,255,310,440,530,600,700,735,675,846,846,846,846,846,946,846,846,1597,1871,1830,1834,1261,739,414,128,128,126,576,539,49,50
