UNcode,CountryName,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
4,Afghanistan,700,700,700,800,800,800,800,1000,1000,1000,1100,1100,1200,1200,1300,1300,1300,1250,1200,1200,1000,800,900,900,1000,1000,1000,1000,1000,1000,1000,1000,1000
8,Albania,8661,8921,8812,8653,6809,10191,9757,10766,10827,9357,10054,3012,2696,2500,2100,1379,2125,1013,2683,2747,3327,3310,3655,2800,4549,5000,5652,5413,5364,5810,6144,5310,5306
12,Algeria,48000,56000,64500,65000,65500,66000,65261,94092,106434,99184,90192,79690,95266,101894,135402,105872,81989,91580,92334,102396,113157,133623,134320,140957,113462,126259,145762,147362,138861,127513,93607,101759,105558
16,American Samoa,148,153,112,112,152,118,181,78,123,102,42,45,55,35,127,171,220,443,605,549,846,3667,6939,5089,4041,4019,5349,6512,4423,4943,5307,5106,6083
20,Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Angola,85085,130957,111488,110376,95188,100093,84660,107490,126031,137465,133088,117104,113625,126200,132413,122781,137815,146304,163149,175799,239351,254553,255443,212033,240002,202616,225741,306436,305860,272042,280000,273000,277000
660,Anguilla,345,345,345,375,395,395,585,542,507,465,421,383,503,382,391,390,455,480,505,530,560,585,610,635,660,685,710,735,759,681,701,1007,1122
28,Antigua and Barbuda,1171,1157,950,1063,1465,2407,2400,2000,1500,1000,885,1498,1712,1097,1145,1610,1463,1665,1708,1660,1754,1824,2374,2587,2527,2999,3092,3092,3521,2490,2293,3192,3050
32,Argentina,385272,361546,475040,416365,315020,406547,420573,458732,493276,492184,558366,640187,743815,982126,996558,1173070,1287565,1388650,1164489,1086026,921797,931081,946185,910200,944846,929937,1171980,985409,995083,861974,811749,793308,738060
51,Armenia,0,0,0,0,0,0,0,0,2419,2738,2698,1933,1885,1850,1033,821,580,580,698,1144,1133,866,465,569,218,250,350,1065,601,619,617,795,861
533,Aruba,770,770,770,770,770,770,700,620,550,480,420,350,300,260,260,140,160,205,182,175,163,163,163,160,162,162,145,159,151,163,153,166,138
36,Australia,123701,137978,160748,159522,161595,151453,171285,196620,201529,170390,208441,223746,232625,228533,202480,204925,200411,196731,203496,211045,190358,191372,197184,215259,230679,236484,197108,188076,181517,171653,173754,164906,157467
40,Austria,1100,1200,1400,1100,700,700,640,600,600,550,533,500,479,420,388,404,450,465,451,432,439,362,350,372,400,370,360,350,350,350,350,350,350
31,Azerbaijan,0,0,0,0,0,0,0,0,55340,52785,40449,37487,30339,21733,18901,10545,6702,5161,4760,20866,18797,10893,11188,6435,9258,9001,4061,2949,1524,1206,1081,1061,911
44,Bahamas,7119,7622,7728,8526,8422,11146,8643,10495,10437,9759,9676,11858,12173,13499,14816,13155,14026,14651,14479,13541,15406,13587,15592,16641,15104,15497,16130,10846,14694,13724,16181,15098,19462
48,Bahrain,5115,5747,5594,4812,5599,7763,8057,7842,6736,9207,8105,7553,7983,8958,7628,9389,12940,10050,9849,10620,11718,11230,11204,13638,14489,11854,15594,15014,14175,16356,13490,9915,27090
50,Bangladesh,555940,554476,587868,619587,633171,642270,648468,639185,654668,656439,653552,689727,709332,764824,770790,792389,814787,829426,839141,959215,1004264,1068417,1103855,1141241,1187274,1333866,1436496,1494199,1557754,1821579,1726586,1600918,1535715
52,Barbados,3744,3420,3489,6531,5781,3829,4109,3607,8936,2582,3026,2289,3582,3222,2826,3589,3520,2817,3652,3278,3182,2728,2527,2844,2154,2188,1980,2229,3555,3500,3272,1821,1363
112,Belarus,0,0,0,0,0,0,0,0,2848,3640,2988,793,1507,2993,787,715,821,499,457,980,553,944,1020,803,583,594,645,689,809,826,897,1122,965
56,Belgium,45615,49279,47841,48580,47871,45115,39466,40231,41541,39633,41460,39891,37120,36089,34254,35599,30823,30500,30835,29876,29800,30209,29028,26831,26735,24567,23019,24541,22609,21722,22418,22477,24659
84,Belize,2066,2252,2288,2641,2672,2427,1838,2059,2151,1770,2033,2521,2414,3971,7670,9719,12168,24788,26600,51827,30359,30746,84360,43358,70046,100364,185263,305643,365494,303954,399033,276697,149806
204,Benin,37832,37768,37521,34628,35275,36360,38738,41889,37266,41860,38234,35083,32488,39221,39923,44379,42175,43785,42139,40437,32324,38415,40663,41648,39988,31497,41507,36386,37495,38928,39791,38848,40364
