UNcode,CountryName,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
4,Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Albania,,,,,,,615,333,475,,1822,1577,2951,2905,5904,2925,1556,2280,1660,2453,5062,5339,5075,8571,5413,6889,8694,13462,17047,18149,23914,25086,29093,32484,36386,37433,36638
12,Algeria,4731,1653,366,297,389,347,37,163,182,188,247,336,351,428,1064,1944,5122,2117,2361,4544,3458,2288,1178,2734,4205,4876,5816,6454,8200,10924,11244,12164,13335,8498,5899,5868,5821
24,Angola,,,,,,,,,,,,,6296,3560,3490,4830,5657,4932,7165,5768,3922,9273,11618,10043,10839,21411,28181,8874,11945,16837,16837,15789,9352,9428,16707,12441,12000
28,Antigua and Barbuda,78,78,152,106,871,241,300,500,270,1160,750,420,500,460,325,310,150,420,420,613,1215,1014,585,284,216,180,310,367,170,332,210,327,249,345,401,899,1013
32,Argentina,40425,86441,154079,205524,143285,139352,190588,168152,157729,149922,216632,262794,266775,280900,315938,447986,484309,635419,725553,907411,1013089,887262,889241,783315,806160,890325,713793,884700,816471,803457,1248227,1103638,1297706,1124376,1336650,1470860,1325937
51,Armenia,,,,,,,,,,,,,,,,,,,,324,4,18,254,494,95,179,1727,3171,2936,3185,4646,4690,5413,3573,7683,16173,22618
533,Aruba,,,,,,,,,17,135,281,853,123,65,84,33,35,15,20,,,599,,873,246,358,777,435,1017,251,70,82,23,16,17,1,4
36,Australia,101603,154426,168043,221072,274409,266978,315546,323535,350521,284444,328212,418415,569784,473457,531665,573854,614284,651032,796193,854130,822953,900923,750308,899000,1003199,901286,897673,895070,917146,939061,932767,941509,948532,823904,942002,998099,998789
40,Austria,1206,1066,1262,1860,1482,1365,1909,1852,1389,1198,2169,1945,2141,2580,2903,3011,5096,4451,5424,17286,11654,9660,7522,10689,8680,7525,19385,32683,43730,19489,18050,28895,39632,45277,51635,80622,93397
31,Azerbaijan,,,,,,,,,,,,,,,,,,,480,265,751,1176,856,3850,3711,1366,1422,4169,4755,7276,659,5851,5601,5954,1021,226,200
44,Bahamas,5500,8744,6996,8907,11131,12247,13035,14023,15273,19044,20042,22783,29822,22286,45821,54453,53369,47493,60951,57360,55760,60660,59635,99352,108202,72125,91522,108508,87145,77469,93655,83367,82516,65114,74553,75293,82214
48,Bahrain,2253,2280,232,,11,8,3,0,0,,989,2254,1929,2288,3170,3264,2655,3768,4445,6192,9652,14283,8753,6925,9687,9913,12074,11595,14046,13124,12605,15630,19184,16238,14629,8460,8500
50,Bangladesh,11922,18066,12876,29758,42705,39724,50208,70260,81219,88653,118154,146853,162402,162455,167050,160817,159023,201505,293376,322854,317229,291651,271597,251868,342617,355893,301484,325111,372691,634975,450350,630792,550610,528468,497004,588336,592500
52,Barbados,396,1049,101,262,81,98,41,46,41,67,106,100,425,211,307,208,220,253,349,871,637,1536,1260,951,1309,1365,927,869,817,1363,701,899,734,360,594,536,684
112,Belarus,,,,,,,,,,,,,,,,,,,2030,8750,5118,3459,16283,14028,18920,15503,20580,38781,51750,60496,83331,107407,138132,97964,112925,149914,188669
56,Belgium,42755,48207,62840,69755,78977,73128,72911,87010,87475,84242,126192,167005,173901,184859,228939,227558,217694,228837,320421,366898,388793,437184,478843,447598,468991,520916,570587,762427,873300,950863,1130503,1185695,1255715,1066510,1127877,1290595,1066549
84,Belize,2899,2883,3496,4800,4468,6434,5983,6977,6734,7652,7440,8436,6239,6704,5209,10368,12099,12452,13253,15760,12427,17933,21846,33306,32286,14057,9511,55269,53907,42911,43079,20866,23838,26284,31334,25412,29050
204,Benin,173,168,22,46,2,16,1,,55,142,391,113,260,180,120,139,56,1030,1518,1263,1723,1414,1274,940,1467,2408,3210,1934,745,1288,1185,387,33,156,1342,1923,1200
60,Bermuda,5678,15810,11496,6700,7600,,,,,,,,,,,,,,,,259,44,2,3,272,46,46,78,4,94,44,15,280,356,111,0,11
64,Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377,0,,0,,0,2,0
68,Bolivia (Plurinat.State),,,2,,,,,12,18,11,52,80,58,82,97,477,282,341,138,182,4,130,122,7,24,35,3,22,,1,31,14,49,18,0,,0
70,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,113,56,371,1134,5628,7042,9226,10462,13334,12885,12345,14666,11002
72,Botswana,,30,7,31,25,77,58,,55,217,630,839,925,719,394,166,126,31,11,30,91,255,129,54,35,65,65,114,64,220,362,95,31,279,134,192,460
76,Brazil,53888,74300,96834,145454,132759,155859,161600,137290,179316,174275,153333,180099,187671,130167,140099,157328,170808,191633,178548,160133,133876,126477,122831,138232,239110,284763,344033,419128,427150,404968,369688,313765,273960,196558,218101,223109,211742
96,Brunei Darussalam,178,195,96,140,77,82,62,76,142,226,247,275,300,350,380,440,450,510,520,99,29,40,231,184,296,682,459,704,1655,6053,5305,3232,2398,356,253,533,2438
100,Bulgaria,18400,15700,20900,24000,27800,21400,23600,16125,13390,15043,21154,30758,27720,25143,15056,15426,10230,8009,12175,21731,26426,11348,6550,7859,7224,6659,5413,8073,10270,10588,16592,17966,24663,24847,32734,33369,34685
854,Burkina Faso,4,7,8,1,,7,10,1,,,5,,,,,,,,,,0,,24,14,3,11,,,0,224,450,801,1159,1025,654,625,700
108,Burundi,125,85,99,119,,91,,,159,,201,301,264,328,301,279,267,243,230,297,122,172,206,153,132,183,163,137,162,173,214,228,207,226,184,217,179
132,Cabo Verde,659,701,552,1173,2048,612,2884,2299,1986,1805,2487,4460,1600,4836,2749,1461,3024,2412,2398,2093,2866,3098,2562,2591,1316,298,501,493,1243,11122,13158,11290,9317,25729,37519,56050,44268
