UNcode,CountryName,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
4,Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,
8,Albania,,,,,,,,,,,171,182,102,80,70,120,80,420,460,2055,1848,2639,2894,6089,4601,5235,9781,11170,13551,15258,16347,17746,26079,27168,28765,34237,28283
12,Algeria,3276,7482,6949,8468,9372,13633,13066,19545,22941,30471,35786,23969,31147,13409,6257,1714,8229,5073,9130,33028,7242,9973,7793,13268,12451,13940,9161,16563,23181,20969,30539,27503,31220,53912,50416,58501,65742
24,Angola,,,,,,,57400,47200,65950,71100,62810,76670,70240,62105,53400,19050,17700,13400,8489,9735,10668,14435,12049,14523,16328,17935,18119,20341,32180,33176,61500,70315,114482,110367,119209,180010,252000
28,Antigua and Barbuda,828,823,903,1170,1375,1493,1230,1150,1422,1739,1630,2320,6356,2657,2100,1122,2120,2016,1940,1828,1851,2378,1786,4002,3954,1618,2623,5391,4187,4877,6423,7882,6695,5841,6034,6409,6746
32,Argentina,1130,6867,10045,21360,23907,25900,13907,7668,9464,8077,10780,21562,13438,11998,6159,18763,48173,44763,66805,70072,71031,88094,86240,88368,84187,76736,14468,28150,46199,61340,76406,100263,100078,97762,124588,160384,176561
51,Armenia,,,,,,,,,,,,,,,,,,,555,1667,482,676,1085,2284,4098,2985,3575,1988,2658,4301,3763,4074,8788,7866,5657,8344,8943
533,Aruba,,,,,,,,,3548,4090,4175,4467,4574,5426,5629,6644,6243,8512,10655,16233,17042,17450,18499,14678,9926,9640,10262,11546,12828,12190,13074,14164,14888,15000,15791,16863,19040
36,Australia,92339,129299,137468,143261,182488,223157,239507,207135,239658,240573,236817,284997,304853,372673,344027,359809,378877,360420,431011,426015,475102,496932,490619,486933,518042,516620,553783,639040,704053,827739,894622,1065860,1101164,1058266,1251030,1474522,1554782
40,Austria,57458,64636,71068,84995,90752,78381,72840,75398,68617,67300,92894,117705,118424,122139,148760,161843,178480,157688,192874,187511,202711,185985,198765,207997,160157,179826,192690,240900,285792,275297,323042,432060,460518,441805,452246,539513,529197
31,Azerbaijan,,,,,,,,,,,,,,,,,,,900,352,558,523,932,846,1442,1314,1961,2136,2324,4811,2917,5783,11141,16057,11402,12155,12757
44,Bahamas,2091,1625,1625,665,4334,2244,3405,3048,3520,4156,4473,4972,4221,5922,6287,6541,5889,6093,6433,7662,7510,8833,9525,10102,14765,13725,14387,13200,14638,16688,17990,17806,21780,20763,20062,21942,26279
48,Bahrain,859,1597,1309,1066,1866,2787,2543,3562,3241,3774,3510,3058,3173,3327,3704,5034,4600,5506,5470,6368,4996,4825,4216,3203,4688,6552,9523,6880,6935,10909,8252,8935,17024,14343,16458,21136,22500
50,Bangladesh,126,123,51,99,76,12,14,0,,,1,6,14,29,3,52,197,168,381,803,3343,2299,4599,1139,3236,6213,10083,5618,13333,4544,2664,6138,11433,19061,17381,21877,27500
52,Barbados,1732,1950,3236,3579,3013,4596,3991,2928,3580,3813,4123,4240,4931,6185,6309,6810,6077,6466,6891,8144,7633,9505,6023,11044,10886,12360,13346,13516,11673,17269,18750,18847,20291,18145,18008,22215,25705
112,Belarus,,,,,,,,,,,,,,,,,,3615,9000,39588,43639,70271,73021,54905,80986,92083,101671,111601,148130,202081,247097,284981,339679,297961,277382,294835,360360
56,Belgium,216262,256480,300358,375462,408337,347710,326926,318806,298802,304024,425923,529941,582893,604561,753676,775966,828086,730459,920918,1035818,966333,979272,1061056,1063195,1027545,1000296,1064299,1387203,1519906,1656383,1926107,2117189,2272516,1939542,2006587,2305363,2042293
84,Belize,244,295,434,604,554,371,225,141,392,434,523,748,871,1238,519,766,939,780,707,966,740,789,1729,2999,3313,1815,1756,2574,1759,2585,1996,1541,2084,1336,1207,452,645
204,Benin,1549,1771,3372,5173,1896,2127,4708,2065,3187,3830,6414,1634,2350,936,2030,6098,8343,11068,7123,9705,6512,6314,5073,7568,8655,4949,8035,10594,11554,16205,19156,24482,32101,27675,27497,31227,42500
60,Bermuda,3011,2959,3322,3757,4417,5200,5163,6227,6365,6198,6880,7717,9175,8920,9794,8525,9780,9320,9250,7061,5677,7213,6369,7569,7030,8387,8204,8274,8431,8203,8639,7286,6116,6704,8849,9603,10040
64,Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1939,2040,3080,2291,2459,3178,3608,3800
68,Bolivia (Plurinat.State),2062,2733,3804,4143,4724,6321,1423,1133,1860,2616,1151,2280,472,2137,420,366,612,1481,2790,1650,2541,2912,4742,2948,9171,5503,5463,3580,2636,3323,4858,5351,10053,10297,10001,17798,16268
70,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,436,4630,541,2942,693,5391,3495,9781,11539,15648,19792,20172,22879,32334,30583,34071,39706,36946,33739,48034,35072
72,Botswana,,790,1165,1041,1639,2044,1701,1773,2059,1719,2336,3033,3558,4753,5268,6709,7098,5599,5222,5893,4926,6413,5204,5118,11291,4841,4251,6915,8514,8018,7049,10170,12691,9346,13084,11186,12030
76,Brazil,52141,54167,71465,106450,89647,68083,77305,43162,40699,47790,130528,128636,82171,186228,194614,192783,133508,200567,261453,397574,481550,483598,455250,289808,324249,267254,222297,213053,278612,306293,473384,568344,689762,721647,1056676,1261887,1248359
