FRA categories (code),FRA categories,Year,Country (code),Country,Value,Flag
0,Other nataturally regenerated forest,1990,144,Albania,600.70,
0,Other nataturally regenerated forest,1990,45,Algeria,1334.00,
0,Other nataturally regenerated forest,1990,13,Angola,60836.00,
0,Other nataturally regenerated forest,1990,215,Argentina,32289.00,
0,Other nataturally regenerated forest,1990,156,Armenia,316.00,
0,Other nataturally regenerated forest,1990,157,Azerbaijan,516.00,
0,Other nataturally regenerated forest,1990,180,Bahamas,515.00,
0,Other nataturally regenerated forest,1990,87,Bahrain,0.00,
0,Other nataturally regenerated forest,1990,31,Bangladesh,819.00,
0,Other nataturally regenerated forest,1990,181,Barbados,8.32,
0,Other nataturally regenerated forest,1990,158,Belarus,5862.00,
0,Other nataturally regenerated forest,1990,130,Belgium,231.00,
0,Other nataturally regenerated forest,1990,171,Belize,984.80,
0,Other nataturally regenerated forest,1990,55,Benin,5751.00,
0,Other nataturally regenerated forest,1990,32,Bhutan,2621.00,
0,Other nataturally regenerated forest,1990,205,Bolivia (plurinational state of),21971.00,
0,Other nataturally regenerated forest,1990,145,Bosnia and Herzegovina,1161.00,
0,Other nataturally regenerated forest,1990,14,Botswana,13718.00,
0,Other nataturally regenerated forest,1990,206,Brazil,39814.00,
0,Other nataturally regenerated forest,1990,81,Brunei Darussalam,99.00,
0,Other nataturally regenerated forest,1990,146,Bulgaria,2138.00,
0,Other nataturally regenerated forest,1990,63,Burkina Faso,6840.40,
0,Other nataturally regenerated forest,1990,4,Burundi,179.00,
0,Other nataturally regenerated forest,1990,38,Cambodia,12111.00,
0,Other nataturally regenerated forest,1990,203,Canada,143329.00,
0,Other nataturally regenerated forest,1990,64,Cape Verde,0.00,
0,Other nataturally regenerated forest,1990,6,Central African Republic,19301.00,
0,Other nataturally regenerated forest,1990,65,Chad,12890.00,
0,Other nataturally regenerated forest,1990,216,Chile,8925.00,
0,Other nataturally regenerated forest,1990,102,China,103544.10,
0,Other nataturally regenerated forest,1990,207,Colombia,53554.00,
0,Other nataturally regenerated forest,1990,22,Comoros,10.00,
0,Other nataturally regenerated forest,1990,7,Congo,15127.00,
0,Other nataturally regenerated forest,1990,110,Cook Islands,14.40,
0,Other nataturally regenerated forest,1990,172,Costa Rica,1647.00,
0,Other nataturally regenerated forest,1990,147,Croatia,1751.00,
0,Other nataturally regenerated forest,1990,185,Cuba,1711.00,
0,Other nataturally regenerated forest,1990,88,Cyprus,123524.00,
0,Other nataturally regenerated forest,1990,148,Czech Republic,10.00,
0,Other nataturally regenerated forest,1990,75,Côte d'Ivoire,9443.00,
0,Other nataturally regenerated forest,1990,105,Democratic People's Republic of Korea,5942.00,
0,Other nataturally regenerated forest,1990,132,Denmark,93.00,
0,Other nataturally regenerated forest,1990,72,Djibouti,5.60,
