Country Code,Country Name,Series Code,Series Name,YR1960--1960,YR1961--1961,YR1962--1962,YR1963--1963,YR1964--1964,YR1965--1965,YR1966--1966,YR1967--1967,YR1968--1968,YR1969--1969,YR1970--1970,YR1971--1971,YR1972--1972,YR1973--1973,YR1974--1974,YR1975--1975,YR1976--1976,YR1977--1977,YR1978--1978,YR1979--1979,YR1980--1980,YR1981--1981,YR1982--1982,YR1983--1983,YR1984--1984,YR1985--1985,YR1986--1986,YR1987--1987,YR1988--1988,YR1989--1989,YR1990--1990,YR1991--1991,YR1992--1992,YR1993--1993,YR1994--1994,YR1995--1995,YR1996--1996,YR1997--1997,YR1998--1998,YR1999--1999,YR2000--2000,YR2001--2001,YR2002--2002,YR2003--2003,YR2004--2004,YR2005--2005,YR2006--2006,YR2007--2007,YR2008--2008,YR2009--2009,YR2010--2010,YR2011--2011
AFG,Afghanistan,SL.EMP.TOTL.FE,"Total employment, female (ages 15+)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,676126.059,681511.5742,697419.3383,708272.5969,724790.9911,732342.529,739727.1107,753249.8669,767439.198,769659.5337,791877.517,815507.1823,847596.7676,888764.713,917200.7568,969929.344,1009681.988,1076565.639,1121973.528,1205526.29,..
AFG,Afghanistan,SL.EMP.TOTL.MA,"Total employment, male (ages 15+)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4108546.606,4234077.282,4364652.286,4494051.457,4633521.144,4754789.117,4878745.429,5006706.736,5141064.965,5242075.215,5398726.739,5550506.205,5695927.478,5903930.798,6033412.681,6249355.164,6398710.932,6671646.166,6776238.861,7085888.429,..
AFG,Afghanistan,SL.EMP.TOTL,"Total employment, total (ages 15+)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4782860.37,4918964.361,5060305.378,5206506.508,5356992.989,5485819.057,5617210.15,5765432.858,5908028.947,6019522.271,6192172.851,6361546.33,6540876.145,6790275.184,6943440.451,7213054.341,7413813.711,7745637.487,7901697.788,8304659.105,..
ALB,Albania,SL.EMP.TOTL.FE,"Total employment, female (ages 15+)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,449279.9648,467613.5331,461670.7503,454508.882,447844.6278,444210.1313,446398.1375,454361.6608,462484.1258,471584.6003,395607.5059,475306.2534,496430.2948,501972.2296,509576.7779,513216.143,528473.5421,525355.4446,518204.5539,524531.8731,..
ALB,Albania,SL.EMP.TOTL.MA,"Total employment, male (ages 15+)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,703529.5887,709745.8608,699154.5496,686335.1441,675706.0931,667142.7887,665193.8618,664324.6542,663746.814,665957.3991,638881.8172,677164.75,676845.4746,685790.06,694653.9753,706669.4494,720793.1856,746555.546,756534.375,757405.3406,..
ALB,Albania,SL.EMP.TOTL,"Total employment, total (ages 15+)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1152388.99,1176961.305,1159366.889,1139454.282,1124239.71,1112850.294,1112650.707,1119063.412,1126824.203,1137187.376,1034929.941,1153460.582,1171659.438,1188330.109,1204664.76,1217887.13,1249387.514,1270945.213,1275001.583,1283314.419,..
DZA,Algeria,SL.EMP.TOTL.FE,"Total employment, female (ages 15+)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,567072.679,578552.4532,614133.9894,634997.5409,639494.925,669962.2767,738058.128,762522.9942,796906.2659,781783.7231,857036.7717,924495.5911,1005051.895,1110791.209,1243399.054,1369201.214,1402461.821,1533731.49,1617112.636,1674564.58,..
DZA,Algeria,SL.EMP.TOTL.MA,"Total employment, male (ages 15+)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4446399.704,4502908.683,4693434.833,4817515.667,4798880.193,4939638.606,5310888.767,5415706.033,5526827.655,5402424.137,5715040.166,5960515.374,6263854.456,6674604.099,7212022.29,7599659.359,7604566.955,7956926.465,8078367.502,8329047.396,..
DZA,Algeria,SL.EMP.TOTL,"Total employment, total (ages 15+)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5016083.497,5081398.549,5304936.494,5455472.58,5439066.37,5608272.177,6054706.258,6182436.224,6326404.71,6185640.231,6581921.866,6882585.155,7253432.938,7789795.322,8457470.917,8957280.111,9006764.193,9489061.427,9693478.075,9987788.205,..
ASM,American Samoa,SL.EMP.TOTL.FE,"Total employment, female (ages 15+)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
ASM,American Samoa,SL.EMP.TOTL.MA,"Total employment, male (ages 15+)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
ASM,American Samoa,SL.EMP.TOTL,"Total employment, total (ages 15+)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
ADO,Andorra,SL.EMP.TOTL.FE,"Total employment, female (ages 15+)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
ADO,Andorra,SL.EMP.TOTL.MA,"Total employment, male (ages 15+)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
ADO,Andorra,SL.EMP.TOTL,"Total employment, total (ages 15+)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
AGO,Angola,SL.EMP.TOTL.FE,"Total employment, female (ages 15+)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1750246.845,1829889.249,1960527.136,2026906.193,2072389.855,2111183.139,2154542.665,2198212.445,2259820.713,2324171.248,2399484.137,2445524.321,2527218.012,2590296.495,2626641.78,2665154.734,2697394.318,2757514.004,2884450.447,3017765.52,..
