Domain Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Value,Flag,FlagD
QI,Production Indices,1,Armenia,434,Gross per capita Production Index Number (2004-2006 = 100),944,"Meat indigenous, cattle",2006,112.4,,Official data
QI,Production Indices,1,Armenia,434,Gross per capita Production Index Number (2004-2006 = 100),1012,"Meat indigenous, sheep",2006,98.39,,Official data
QI,Production Indices,1,Armenia,434,Gross per capita Production Index Number (2004-2006 = 100),1055,"Meat indigenous, pig",2006,132.57,,Official data
QI,Production Indices,1,Armenia,434,Gross per capita Production Index Number (2004-2006 = 100),1094,"Meat indigenous, chicken",2006,115.15,,Official data
QI,Production Indices,2,Afghanistan,434,Gross per capita Production Index Number (2004-2006 = 100),944,"Meat indigenous, cattle",2006,83.44,,Official data
QI,Production Indices,2,Afghanistan,434,Gross per capita Production Index Number (2004-2006 = 100),1012,"Meat indigenous, sheep",2006,89.17,,Official data
QI,Production Indices,2,Afghanistan,434,Gross per capita Production Index Number (2004-2006 = 100),1032,"Meat indigenous, goat",2006,92.2,,Official data
QI,Production Indices,2,Afghanistan,434,Gross per capita Production Index Number (2004-2006 = 100),1094,"Meat indigenous, chicken",2006,70.53,,Official data
QI,Production Indices,2,Afghanistan,434,Gross per capita Production Index Number (2004-2006 = 100),1137,"Meat indigenous, camel",2006,92.13,,Official data
QI,Production Indices,2,Afghanistan,434,Gross per capita Production Index Number (2004-2006 = 100),1163,"Meat, game",2006,101.89,,Official data
QI,Production Indices,3,Albania,434,Gross per capita Production Index Number (2004-2006 = 100),944,"Meat indigenous, cattle",2006,99.29,,Official data
QI,Production Indices,3,Albania,434,Gross per capita Production Index Number (2004-2006 = 100),1012,"Meat indigenous, sheep",2006,102.28,,Official data
QI,Production Indices,3,Albania,434,Gross per capita Production Index Number (2004-2006 = 100),1032,"Meat indigenous, goat",2006,96.23,,Official data
QI,Production Indices,3,Albania,434,Gross per capita Production Index Number (2004-2006 = 100),1055,"Meat indigenous, pig",2006,73.51,,Official data
QI,Production Indices,3,Albania,434,Gross per capita Production Index Number (2004-2006 = 100),1094,"Meat indigenous, chicken",2006,111.43,,Official data
QI,Production Indices,3,Albania,434,Gross per capita Production Index Number (2004-2006 = 100),1166,"Meat, nes",2006,108.46,,Official data
QI,Production Indices,4,Algeria,434,Gross per capita Production Index Number (2004-2006 = 100),944,"Meat indigenous, cattle",2006,101.04,,Official data
QI,Production Indices,4,Algeria,434,Gross per capita Production Index Number (2004-2006 = 100),1012,"Meat indigenous, sheep",2006,102,,Official data
QI,Production Indices,4,Algeria,434,Gross per capita Production Index Number (2004-2006 = 100),1032,"Meat indigenous, goat",2006,102.67,,Official data
QI,Production Indices,4,Algeria,434,Gross per capita Production Index Number (2004-2006 = 100),1055,"Meat indigenous, pig",2006,94.23,,Official data
QI,Production Indices,4,Algeria,434,Gross per capita Production Index Number (2004-2006 = 100),1087,"Meat indigenous, turkey",2006,98.45,,Official data
QI,Production Indices,4,Algeria,434,Gross per capita Production Index Number (2004-2006 = 100),1094,"Meat indigenous, chicken",2006,98.38,,Official data
QI,Production Indices,4,Algeria,434,Gross per capita Production Index Number (2004-2006 = 100),1120,"Meat indigenous, horse",2006,99.24,,Official data
QI,Production Indices,4,Algeria,434,Gross per capita Production Index Number (2004-2006 = 100),1137,"Meat indigenous, camel",2006,103.41,,Official data
QI,Production Indices,4,Algeria,434,Gross per capita Production Index Number (2004-2006 = 100),1144,"Meat indigenous, rabbit",2006,98.45,,Official data
