Domain Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Value,Flag,FlagD
QI,Production Indices,1,Armenia,434,Gross per capita Production Index Number (2004-2006 = 100),116,Potatoes,2004,102.55,,Official data
QI,Production Indices,1,Armenia,434,Gross per capita Production Index Number (2004-2006 = 100),116,Potatoes,2005,100.74,,Official data
QI,Production Indices,1,Armenia,434,Gross per capita Production Index Number (2004-2006 = 100),116,Potatoes,2006,96.71,,Official data
QI,Production Indices,2,Afghanistan,434,Gross per capita Production Index Number (2004-2006 = 100),116,Potatoes,2004,103.33,,Official data
QI,Production Indices,2,Afghanistan,434,Gross per capita Production Index Number (2004-2006 = 100),116,Potatoes,2005,99.83,,Official data
QI,Production Indices,2,Afghanistan,434,Gross per capita Production Index Number (2004-2006 = 100),116,Potatoes,2006,96.83,,Official data
QI,Production Indices,3,Albania,434,Gross per capita Production Index Number (2004-2006 = 100),116,Potatoes,2004,96.93,,Official data
QI,Production Indices,3,Albania,434,Gross per capita Production Index Number (2004-2006 = 100),116,Potatoes,2005,103.33,,Official data
QI,Production Indices,3,Albania,434,Gross per capita Production Index Number (2004-2006 = 100),116,Potatoes,2006,99.74,,Official data
QI,Production Indices,4,Algeria,434,Gross per capita Production Index Number (2004-2006 = 100),116,Potatoes,2004,92.71,,Official data
QI,Production Indices,4,Algeria,434,Gross per capita Production Index Number (2004-2006 = 100),116,Potatoes,2005,103.89,,Official data
QI,Production Indices,4,Algeria,434,Gross per capita Production Index Number (2004-2006 = 100),116,Potatoes,2006,103.4,,Official data
QI,Production Indices,5,American Samoa,434,Gross per capita Production Index Number (2004-2006 = 100),125,Cassava,2004,106.38,,Official data
QI,Production Indices,5,American Samoa,434,Gross per capita Production Index Number (2004-2006 = 100),125,Cassava,2005,105.32,,Official data
QI,Production Indices,5,American Samoa,434,Gross per capita Production Index Number (2004-2006 = 100),125,Cassava,2006,88.3,,Official data
QI,Production Indices,5,American Samoa,434,Gross per capita Production Index Number (2004-2006 = 100),136,Taro (cocoyam),2004,87.34,,Official data
QI,Production Indices,5,American Samoa,434,Gross per capita Production Index Number (2004-2006 = 100),136,Taro (cocoyam),2005,111.4,,Official data
QI,Production Indices,5,American Samoa,434,Gross per capita Production Index Number (2004-2006 = 100),136,Taro (cocoyam),2006,101.25,,Official data
QI,Production Indices,5,American Samoa,434,Gross per capita Production Index Number (2004-2006 = 100),137,Yams,2004,101.05,,Official data
QI,Production Indices,5,American Samoa,434,Gross per capita Production Index Number (2004-2006 = 100),137,Yams,2005,100.93,,Official data
QI,Production Indices,5,American Samoa,434,Gross per capita Production Index Number (2004-2006 = 100),137,Yams,2006,98.02,,Official data
QI,Production Indices,7,Angola,434,Gross per capita Production Index Number (2004-2006 = 100),116,Potatoes,2004,89.16,,Official data
QI,Production Indices,7,Angola,434,Gross per capita Production Index Number (2004-2006 = 100),116,Potatoes,2005,109.36,,Official data
QI,Production Indices,7,Angola,434,Gross per capita Production Index Number (2004-2006 = 100),116,Potatoes,2006,101.49,,Official data
QI,Production Indices,7,Angola,434,Gross per capita Production Index Number (2004-2006 = 100),122,Sweet potatoes,2004,98.91,,Official data
QI,Production Indices,7,Angola,434,Gross per capita Production Index Number (2004-2006 = 100),122,Sweet potatoes,2005,100.71,,Official data
QI,Production Indices,7,Angola,434,Gross per capita Production Index Number (2004-2006 = 100),122,Sweet potatoes,2006,100.38,,Official data
QI,Production Indices,7,Angola,434,Gross per capita Production Index Number (2004-2006 = 100),125,Cassava,2004,100.93,,Official data
QI,Production Indices,7,Angola,434,Gross per capita Production Index Number (2004-2006 = 100),125,Cassava,2005,99.96,,Official data
QI,Production Indices,7,Angola,434,Gross per capita Production Index Number (2004-2006 = 100),125,Cassava,2006,99.11,,Official data
QI,Production Indices,8,Antigua and Barbuda,434,Gross per capita Production Index Number (2004-2006 = 100),122,Sweet potatoes,2004,92.94,,Official data
QI,Production Indices,8,Antigua and Barbuda,434,Gross per capita Production Index Number (2004-2006 = 100),122,Sweet potatoes,2005,92.28,,Official data
QI,Production Indices,8,Antigua and Barbuda,434,Gross per capita Production Index Number (2004-2006 = 100),122,Sweet potatoes,2006,114.78,,Official data
QI,Production Indices,8,Antigua and Barbuda,434,Gross per capita Production Index Number (2004-2006 = 100),125,Cassava,2004,99.06,,Official data
QI,Production Indices,8,Antigua and Barbuda,434,Gross per capita Production Index Number (2004-2006 = 100),125,Cassava,2005,96.56,,Official data
QI,Production Indices,8,Antigua and Barbuda,434,Gross per capita Production Index Number (2004-2006 = 100),125,Cassava,2006,104.39,,Official data
QI,Production Indices,8,Antigua and Barbuda,434,Gross per capita Production Index Number (2004-2006 = 100),136,Taro (cocoyam),2004,119.29,,Official data
QI,Production Indices,8,Antigua and Barbuda,434,Gross per capita Production Index Number (2004-2006 = 100),136,Taro (cocoyam),2005,94.28,,Official data
QI,Production Indices,8,Antigua and Barbuda,434,Gross per capita Production Index Number (2004-2006 = 100),136,Taro (cocoyam),2006,86.43,,Official data
QI,Production Indices,8,Antigua and Barbuda,434,Gross per capita Production Index Number (2004-2006 = 100),137,Yams,2004,101.29,,Official data
QI,Production Indices,8,Antigua and Barbuda,434,Gross per capita Production Index Number (2004-2006 = 100),137,Yams,2005,98.64,,Official data
QI,Production Indices,8,Antigua and Barbuda,434,Gross per capita Production Index Number (2004-2006 = 100),137,Yams,2006,100.07,,Official data
QI,Production Indices,9,Argentina,434,Gross per capita Production Index Number (2004-2006 = 100),116,Potatoes,2004,106.3,,Official data
QI,Production Indices,9,Argentina,434,Gross per capita Production Index Number (2004-2006 = 100),116,Potatoes,2005,93.25,,Official data
QI,Production Indices,9,Argentina,434,Gross per capita Production Index Number (2004-2006 = 100),116,Potatoes,2006,100.45,,Official data
QI,Production Indices,9,Argentina,434,Gross per capita Production Index Number (2004-2006 = 100),122,Sweet potatoes,2004,99.91,,Official data
QI,Production Indices,9,Argentina,434,Gross per capita Production Index Number (2004-2006 = 100),122,Sweet potatoes,2005,107.53,,Official data
QI,Production Indices,9,Argentina,434,Gross per capita Production Index Number (2004-2006 = 100),122,Sweet potatoes,2006,92.56,,Official data
QI,Production Indices,9,Argentina,434,Gross per capita Production Index Number (2004-2006 = 100),125,Cassava,2004,100.49,,Official data
QI,Production Indices,9,Argentina,434,Gross per capita Production Index Number (2004-2006 = 100),125,Cassava,2005,102.46,,Official data
QI,Production Indices,9,Argentina,434,Gross per capita Production Index Number (2004-2006 = 100),125,Cassava,2006,97.05,,Official data
QI,Production Indices,10,Australia,434,Gross per capita Production Index Number (2004-2006 = 100),116,Potatoes,2004,103.71,,Official data
QI,Production Indices,10,Australia,434,Gross per capita Production Index Number (2004-2006 = 100),116,Potatoes,2005,100.46,,Official data
QI,Production Indices,10,Australia,434,Gross per capita Production Index Number (2004-2006 = 100),116,Potatoes,2006,95.83,,Official data
QI,Production Indices,10,Australia,434,Gross per capita Production Index Number (2004-2006 = 100),122,Sweet potatoes,2004,96.01,,Official data
QI,Production Indices,10,Australia,434,Gross per capita Production Index Number (2004-2006 = 100),122,Sweet potatoes,2005,99.33,,Official data
QI,Production Indices,10,Australia,434,Gross per capita Production Index Number (2004-2006 = 100),122,Sweet potatoes,2006,104.66,,Official data
QI,Production Indices,11,Austria,434,Gross per capita Production Index Number (2004-2006 = 100),116,Potatoes,2004,99.01,,Official data
QI,Production Indices,11,Austria,434,Gross per capita Production Index Number (2004-2006 = 100),116,Potatoes,2005,108.42,,Official data
QI,Production Indices,11,Austria,434,Gross per capita Production Index Number (2004-2006 = 100),116,Potatoes,2006,92.57,,Official data
QI,Production Indices,12,Bahamas,434,Gross per capita Production Index Number (2004-2006 = 100),122,Sweet potatoes,2004,109.27,,Official data
QI,Production Indices,12,Bahamas,434,Gross per capita Production Index Number (2004-2006 = 100),122,Sweet potatoes,2005,107.67,,Official data
QI,Production Indices,12,Bahamas,434,Gross per capita Production Index Number (2004-2006 = 100),122,Sweet potatoes,2006,83.06,,Official data
QI,Production Indices,12,Bahamas,434,Gross per capita Production Index Number (2004-2006 = 100),125,Cassava,2004,99.22,,Official data
QI,Production Indices,12,Bahamas,434,Gross per capita Production Index Number (2004-2006 = 100),125,Cassava,2005,96.49,,Official data
QI,Production Indices,12,Bahamas,434,Gross per capita Production Index Number (2004-2006 = 100),125,Cassava,2006,104.29,,Official data
QI,Production Indices,13,Bahrain,434,Gross per capita Production Index Number (2004-2006 = 100),116,Potatoes,2004,208.14,,Official data
QI,Production Indices,13,Bahrain,434,Gross per capita Production Index Number (2004-2006 = 100),116,Potatoes,2005,26.97,,Official data
QI,Production Indices,13,Bahrain,434,Gross per capita Production Index Number (2004-2006 = 100),116,Potatoes,2006,64.89,,Official data
QI,Production Indices,14,Barbados,434,Gross per capita Production Index Number (2004-2006 = 100),122,Sweet potatoes,2004,93.18,,Official data
QI,Production Indices,14,Barbados,434,Gross per capita Production Index Number (2004-2006 = 100),122,Sweet potatoes,2005,100.77,,Official data
