Domain Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Value,Flag,FlagD
QI,Production Indices,1,Armenia,434,Gross per capita Production Index Number (2004-2006 = 100),157,Sugar beet,2004,44.78,,Official data
QI,Production Indices,1,Armenia,434,Gross per capita Production Index Number (2004-2006 = 100),157,Sugar beet,2005,119.85,,Official data
QI,Production Indices,1,Armenia,434,Gross per capita Production Index Number (2004-2006 = 100),157,Sugar beet,2006,135.37,,Official data
QI,Production Indices,2,Afghanistan,434,Gross per capita Production Index Number (2004-2006 = 100),156,Sugar cane,2004,110.9,,Official data
QI,Production Indices,2,Afghanistan,434,Gross per capita Production Index Number (2004-2006 = 100),156,Sugar cane,2005,67.86,,Official data
QI,Production Indices,2,Afghanistan,434,Gross per capita Production Index Number (2004-2006 = 100),156,Sugar cane,2006,121.24,,Official data
QI,Production Indices,2,Afghanistan,434,Gross per capita Production Index Number (2004-2006 = 100),157,Sugar beet,2004,140.06,,Official data
QI,Production Indices,2,Afghanistan,434,Gross per capita Production Index Number (2004-2006 = 100),157,Sugar beet,2005,81.19,,Official data
QI,Production Indices,2,Afghanistan,434,Gross per capita Production Index Number (2004-2006 = 100),157,Sugar beet,2006,78.75,,Official data
QI,Production Indices,3,Albania,434,Gross per capita Production Index Number (2004-2006 = 100),157,Sugar beet,2004,91.73,,Official data
QI,Production Indices,3,Albania,434,Gross per capita Production Index Number (2004-2006 = 100),157,Sugar beet,2005,92.31,,Official data
QI,Production Indices,3,Albania,434,Gross per capita Production Index Number (2004-2006 = 100),157,Sugar beet,2006,115.96,,Official data
QI,Production Indices,5,American Samoa,434,Gross per capita Production Index Number (2004-2006 = 100),156,Sugar cane,2004,98.78,,Official data
QI,Production Indices,5,American Samoa,434,Gross per capita Production Index Number (2004-2006 = 100),156,Sugar cane,2005,98.78,,Official data
QI,Production Indices,5,American Samoa,434,Gross per capita Production Index Number (2004-2006 = 100),156,Sugar cane,2006,102.44,,Official data
QI,Production Indices,7,Angola,434,Gross per capita Production Index Number (2004-2006 = 100),156,Sugar cane,2004,94.26,,Official data
QI,Production Indices,7,Angola,434,Gross per capita Production Index Number (2004-2006 = 100),156,Sugar cane,2005,91.02,,Official data
QI,Production Indices,7,Angola,434,Gross per capita Production Index Number (2004-2006 = 100),156,Sugar cane,2006,114.72,,Official data
QI,Production Indices,9,Argentina,434,Gross per capita Production Index Number (2004-2006 = 100),156,Sugar cane,2004,88.22,,Official data
QI,Production Indices,9,Argentina,434,Gross per capita Production Index Number (2004-2006 = 100),156,Sugar cane,2005,102.09,,Official data
