Domain Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Value,Flag,FlagD
QI,Production Indices,1,Armenia,432,Gross Production Index Number (2004-2006 = 100),358,Cabbages and other brassicas,2006,109.75,,Official data
QI,Production Indices,1,Armenia,432,Gross Production Index Number (2004-2006 = 100),388,Tomatoes,2006,122.22,,Official data
QI,Production Indices,1,Armenia,432,Gross Production Index Number (2004-2006 = 100),393,Cauliflowers and broccoli,2006,111.89,,Official data
QI,Production Indices,1,Armenia,432,Gross Production Index Number (2004-2006 = 100),397,Cucumbers and gherkins,2006,110.44,,Official data
QI,Production Indices,1,Armenia,432,Gross Production Index Number (2004-2006 = 100),403,"Onions, dry",2006,121.38,,Official data
QI,Production Indices,1,Armenia,432,Gross Production Index Number (2004-2006 = 100),406,Garlic,2006,109.64,,Official data
QI,Production Indices,1,Armenia,432,Gross Production Index Number (2004-2006 = 100),417,"Peas, green",2006,139.57,,Official data
QI,Production Indices,1,Armenia,432,Gross Production Index Number (2004-2006 = 100),426,Carrots and turnips,2006,101.27,,Official data
QI,Production Indices,1,Armenia,432,Gross Production Index Number (2004-2006 = 100),463,"Vegetables, fresh nes",2006,106.25,,Official data
QI,Production Indices,1,Armenia,432,Gross Production Index Number (2004-2006 = 100),515,Apples,2006,112.54,,Official data
QI,Production Indices,1,Armenia,432,Gross Production Index Number (2004-2006 = 100),521,Pears,2006,119.62,,Official data
QI,Production Indices,1,Armenia,432,Gross Production Index Number (2004-2006 = 100),526,Apricots,2006,137.32,,Official data
QI,Production Indices,1,Armenia,432,Gross Production Index Number (2004-2006 = 100),531,Cherries,2006,111.11,,Official data
QI,Production Indices,1,Armenia,432,Gross Production Index Number (2004-2006 = 100),534,Peaches and nectarines,2006,156.05,,Official data
QI,Production Indices,1,Armenia,432,Gross Production Index Number (2004-2006 = 100),536,Plums and sloes,2006,108.7,,Official data
QI,Production Indices,1,Armenia,432,Gross Production Index Number (2004-2006 = 100),541,"Fruit, stone nes",2006,62.5,,Official data
QI,Production Indices,1,Armenia,432,Gross Production Index Number (2004-2006 = 100),558,Berries nes,2006,156.04,,Official data
QI,Production Indices,1,Armenia,432,Gross Production Index Number (2004-2006 = 100),560,Grapes,2006,117.39,,Official data
QI,Production Indices,1,Armenia,432,Gross Production Index Number (2004-2006 = 100),567,Watermelons,2006,110.71,,Official data
QI,Production Indices,1,Armenia,432,Gross Production Index Number (2004-2006 = 100),603,"Fruit, tropical fresh nes",2006,99.17,,Official data
QI,Production Indices,1,Armenia,432,Gross Production Index Number (2004-2006 = 100),619,"Fruit, fresh nes",2006,124.34,,Official data
QI,Production Indices,2,Afghanistan,432,Gross Production Index Number (2004-2006 = 100),463,"Vegetables, fresh nes",2006,92.08,,Official data
QI,Production Indices,2,Afghanistan,432,Gross Production Index Number (2004-2006 = 100),490,Oranges,2006,70.91,,Official data
QI,Production Indices,2,Afghanistan,432,Gross Production Index Number (2004-2006 = 100),512,"Fruit, citrus nes",2006,62.63,,Official data
QI,Production Indices,2,Afghanistan,432,Gross Production Index Number (2004-2006 = 100),515,Apples,2006,157.22,,Official data
QI,Production Indices,2,Afghanistan,432,Gross Production Index Number (2004-2006 = 100),521,Pears,2006,129.77,,Official data
QI,Production Indices,2,Afghanistan,432,Gross Production Index Number (2004-2006 = 100),526,Apricots,2006,105.3,,Official data
QI,Production Indices,2,Afghanistan,432,Gross Production Index Number (2004-2006 = 100),534,Peaches and nectarines,2006,92.65,,Official data
QI,Production Indices,2,Afghanistan,432,Gross Production Index Number (2004-2006 = 100),536,Plums and sloes,2006,122.21,,Official data
QI,Production Indices,2,Afghanistan,432,Gross Production Index Number (2004-2006 = 100),541,"Fruit, stone nes",2006,107.77,,Official data
QI,Production Indices,2,Afghanistan,432,Gross Production Index Number (2004-2006 = 100),558,Berries nes,2006,73.91,,Official data
QI,Production Indices,2,Afghanistan,432,Gross Production Index Number (2004-2006 = 100),560,Grapes,2006,100.5,,Official data
QI,Production Indices,2,Afghanistan,432,Gross Production Index Number (2004-2006 = 100),567,Watermelons,2006,146.7,,Official data
QI,Production Indices,2,Afghanistan,432,Gross Production Index Number (2004-2006 = 100),568,"Melons, other (inc.cantaloupes)",2006,200,,Official data
QI,Production Indices,2,Afghanistan,432,Gross Production Index Number (2004-2006 = 100),569,Figs,2006,100,,Official data
QI,Production Indices,2,Afghanistan,432,Gross Production Index Number (2004-2006 = 100),619,"Fruit, fresh nes",2006,100.5,,Official data
QI,Production Indices,3,Albania,432,Gross Production Index Number (2004-2006 = 100),358,Cabbages and other brassicas,2006,90.36,,Official data
QI,Production Indices,3,Albania,432,Gross Production Index Number (2004-2006 = 100),372,Lettuce and chicory,2006,100,,Official data
QI,Production Indices,3,Albania,432,Gross Production Index Number (2004-2006 = 100),373,Spinach,2006,100.65,,Official data
QI,Production Indices,3,Albania,432,Gross Production Index Number (2004-2006 = 100),388,Tomatoes,2006,105.48,,Official data
QI,Production Indices,3,Albania,432,Gross Production Index Number (2004-2006 = 100),393,Cauliflowers and broccoli,2006,99.18,,Official data
QI,Production Indices,3,Albania,432,Gross Production Index Number (2004-2006 = 100),394,"Pumpkins, squash and gourds",2006,80.31,,Official data
QI,Production Indices,3,Albania,432,Gross Production Index Number (2004-2006 = 100),397,Cucumbers and gherkins,2006,98.34,,Official data
QI,Production Indices,3,Albania,432,Gross Production Index Number (2004-2006 = 100),399,Eggplants (aubergines),2006,88.12,,Official data
QI,Production Indices,3,Albania,432,Gross Production Index Number (2004-2006 = 100),401,"Chillies and peppers, green",2006,104.66,,Official data
QI,Production Indices,3,Albania,432,Gross Production Index Number (2004-2006 = 100),402,"Onions, shallots, green",2006,99.5,,Official data
QI,Production Indices,3,Albania,432,Gross Production Index Number (2004-2006 = 100),403,"Onions, dry",2006,113.06,,Official data
QI,Production Indices,3,Albania,432,Gross Production Index Number (2004-2006 = 100),406,Garlic,2006,89.12,,Official data
QI,Production Indices,3,Albania,432,Gross Production Index Number (2004-2006 = 100),407,"Leeks, other alliaceous vegetables",2006,88.8,,Official data
QI,Production Indices,3,Albania,432,Gross Production Index Number (2004-2006 = 100),414,"Beans, green",2006,152.87,,Official data
QI,Production Indices,3,Albania,432,Gross Production Index Number (2004-2006 = 100),417,"Peas, green",2006,100,,Official data
QI,Production Indices,3,Albania,432,Gross Production Index Number (2004-2006 = 100),420,"Vegetables, leguminous nes",2006,100,,Official data
QI,Production Indices,3,Albania,432,Gross Production Index Number (2004-2006 = 100),426,Carrots and turnips,2006,41.95,,Official data
QI,Production Indices,3,Albania,432,Gross Production Index Number (2004-2006 = 100),430,Okra,2006,145.83,,Official data
QI,Production Indices,3,Albania,432,Gross Production Index Number (2004-2006 = 100),449,Mushrooms and truffles,2006,94.04,,Official data
QI,Production Indices,3,Albania,432,Gross Production Index Number (2004-2006 = 100),463,"Vegetables, fresh nes",2006,190.91,,Official data
QI,Production Indices,3,Albania,432,Gross Production Index Number (2004-2006 = 100),490,Oranges,2006,79.96,,Official data
QI,Production Indices,3,Albania,432,Gross Production Index Number (2004-2006 = 100),495,"Tangerines, mandarins, clementines, satsumas",2006,117.58,,Official data
QI,Production Indices,3,Albania,432,Gross Production Index Number (2004-2006 = 100),497,Lemons and limes,2006,119.33,,Official data
QI,Production Indices,3,Albania,432,Gross Production Index Number (2004-2006 = 100),515,Apples,2006,141.2,,Official data
QI,Production Indices,3,Albania,432,Gross Production Index Number (2004-2006 = 100),521,Pears,2006,109.34,,Official data
QI,Production Indices,3,Albania,432,Gross Production Index Number (2004-2006 = 100),523,Quinces,2006,166.67,,Official data
QI,Production Indices,3,Albania,432,Gross Production Index Number (2004-2006 = 100),526,Apricots,2006,100,,Official data
QI,Production Indices,3,Albania,432,Gross Production Index Number (2004-2006 = 100),530,"Cherries, sour",2006,103.03,,Official data
QI,Production Indices,3,Albania,432,Gross Production Index Number (2004-2006 = 100),531,Cherries,2006,105.79,,Official data
QI,Production Indices,3,Albania,432,Gross Production Index Number (2004-2006 = 100),534,Peaches and nectarines,2006,126.09,,Official data
QI,Production Indices,3,Albania,432,Gross Production Index Number (2004-2006 = 100),536,Plums and sloes,2006,101.89,,Official data
QI,Production Indices,3,Albania,432,Gross Production Index Number (2004-2006 = 100),560,Grapes,2006,112.76,,Official data
QI,Production Indices,3,Albania,432,Gross Production Index Number (2004-2006 = 100),567,Watermelons,2006,87.86,,Official data
QI,Production Indices,3,Albania,432,Gross Production Index Number (2004-2006 = 100),568,"Melons, other (inc.cantaloupes)",2006,119.66,,Official data
QI,Production Indices,3,Albania,432,Gross Production Index Number (2004-2006 = 100),569,Figs,2006,107.07,,Official data
QI,Production Indices,3,Albania,432,Gross Production Index Number (2004-2006 = 100),577,Dates,2006,116.81,,Official data
QI,Production Indices,3,Albania,432,Gross Production Index Number (2004-2006 = 100),619,"Fruit, fresh nes",2006,122.95,,Official data
QI,Production Indices,4,Algeria,432,Gross Production Index Number (2004-2006 = 100),358,Cabbages and other brassicas,2006,102.01,,Official data
QI,Production Indices,4,Algeria,432,Gross Production Index Number (2004-2006 = 100),366,Artichokes,2006,67.9,,Official data
QI,Production Indices,4,Algeria,432,Gross Production Index Number (2004-2006 = 100),388,Tomatoes,2006,82.03,,Official data
QI,Production Indices,4,Algeria,432,Gross Production Index Number (2004-2006 = 100),393,Cauliflowers and broccoli,2006,108.54,,Official data
