Domain Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Value,Flag,FlagD
QI,Production Indices,7,Angola,434,Gross per capita Production Index Number (2004-2006 = 100),257,"Oil, palm",2004,100.28,,Official data
QI,Production Indices,7,Angola,434,Gross per capita Production Index Number (2004-2006 = 100),257,"Oil, palm",2005,100.64,,Official data
QI,Production Indices,7,Angola,434,Gross per capita Production Index Number (2004-2006 = 100),257,"Oil, palm",2006,99.08,,Official data
QI,Production Indices,21,Brazil,434,Gross per capita Production Index Number (2004-2006 = 100),257,"Oil, palm",2004,91.33,,Official data
QI,Production Indices,21,Brazil,434,Gross per capita Production Index Number (2004-2006 = 100),257,"Oil, palm",2005,101.73,,Official data
QI,Production Indices,21,Brazil,434,Gross per capita Production Index Number (2004-2006 = 100),257,"Oil, palm",2006,106.94,,Official data
QI,Production Indices,25,Solomon Islands,434,Gross per capita Production Index Number (2004-2006 = 100),257,"Oil, palm",2004,99.55,,Official data
QI,Production Indices,25,Solomon Islands,434,Gross per capita Production Index Number (2004-2006 = 100),257,"Oil, palm",2005,100.08,,Official data
QI,Production Indices,25,Solomon Islands,434,Gross per capita Production Index Number (2004-2006 = 100),257,"Oil, palm",2006,100.37,,Official data
QI,Production Indices,29,Burundi,434,Gross per capita Production Index Number (2004-2006 = 100),257,"Oil, palm",2004,57.64,,Official data
QI,Production Indices,29,Burundi,434,Gross per capita Production Index Number (2004-2006 = 100),257,"Oil, palm",2005,92.86,,Official data
QI,Production Indices,29,Burundi,434,Gross per capita Production Index Number (2004-2006 = 100),257,"Oil, palm",2006,149.51,,Official data
QI,Production Indices,32,Cameroon,434,Gross per capita Production Index Number (2004-2006 = 100),257,"Oil, palm",2004,92.12,,Official data
QI,Production Indices,32,Cameroon,434,Gross per capita Production Index Number (2004-2006 = 100),257,"Oil, palm",2005,103.48,,Official data
QI,Production Indices,32,Cameroon,434,Gross per capita Production Index Number (2004-2006 = 100),257,"Oil, palm",2006,104.4,,Official data
QI,Production Indices,37,Central African Republic,434,Gross per capita Production Index Number (2004-2006 = 100),257,"Oil, palm",2004,99.97,,Official data
QI,Production Indices,37,Central African Republic,434,Gross per capita Production Index Number (2004-2006 = 100),257,"Oil, palm",2005,101.4,,Official data
QI,Production Indices,37,Central African Republic,434,Gross per capita Production Index Number (2004-2006 = 100),257,"Oil, palm",2006,98.63,,Official data
QI,Production Indices,41,"China, mainland",434,Gross per capita Production Index Number (2004-2006 = 100),257,"Oil, palm",2004,98.4,,Official data
QI,Production Indices,41,"China, mainland",434,Gross per capita Production Index Number (2004-2006 = 100),257,"Oil, palm",2005,107.83,,Official data
QI,Production Indices,41,"China, mainland",434,Gross per capita Production Index Number (2004-2006 = 100),257,"Oil, palm",2006,93.77,,Official data
QI,Production Indices,44,Colombia,434,Gross per capita Production Index Number (2004-2006 = 100),257,"Oil, palm",2004,95.4,,Official data
QI,Production Indices,44,Colombia,434,Gross per capita Production Index Number (2004-2006 = 100),257,"Oil, palm",2005,100.23,,Official data
QI,Production Indices,44,Colombia,434,Gross per capita Production Index Number (2004-2006 = 100),257,"Oil, palm",2006,104.37,,Official data
QI,Production Indices,46,Congo,434,Gross per capita Production Index Number (2004-2006 = 100),257,"Oil, palm",2004,90.5,,Official data
QI,Production Indices,46,Congo,434,Gross per capita Production Index Number (2004-2006 = 100),257,"Oil, palm",2005,93,,Official data
QI,Production Indices,46,Congo,434,Gross per capita Production Index Number (2004-2006 = 100),257,"Oil, palm",2006,116.5,,Official data
QI,Production Indices,48,Costa Rica,434,Gross per capita Production Index Number (2004-2006 = 100),257,"Oil, palm",2004,90.72,,Official data
QI,Production Indices,48,Costa Rica,434,Gross per capita Production Index Number (2004-2006 = 100),257,"Oil, palm",2005,100.8,,Official data
QI,Production Indices,48,Costa Rica,434,Gross per capita Production Index Number (2004-2006 = 100),257,"Oil, palm",2006,108.48,,Official data
QI,Production Indices,53,Benin,434,Gross per capita Production Index Number (2004-2006 = 100),257,"Oil, palm",2004,96.62,,Official data
QI,Production Indices,53,Benin,434,Gross per capita Production Index Number (2004-2006 = 100),257,"Oil, palm",2005,100.54,,Official data
QI,Production Indices,53,Benin,434,Gross per capita Production Index Number (2004-2006 = 100),257,"Oil, palm",2006,102.84,,Official data
QI,Production Indices,56,Dominican Republic,434,Gross per capita Production Index Number (2004-2006 = 100),257,"Oil, palm",2004,95.96,,Official data
QI,Production Indices,56,Dominican Republic,434,Gross per capita Production Index Number (2004-2006 = 100),257,"Oil, palm",2005,99.36,,Official data
QI,Production Indices,56,Dominican Republic,434,Gross per capita Production Index Number (2004-2006 = 100),257,"Oil, palm",2006,104.69,,Official data
QI,Production Indices,58,Ecuador,434,Gross per capita Production Index Number (2004-2006 = 100),257,"Oil, palm",2004,94.73,,Official data
QI,Production Indices,58,Ecuador,434,Gross per capita Production Index Number (2004-2006 = 100),257,"Oil, palm",2005,103.47,,Official data
QI,Production Indices,58,Ecuador,434,Gross per capita Production Index Number (2004-2006 = 100),257,"Oil, palm",2006,101.8,,Official data
QI,Production Indices,61,Equatorial Guinea,434,Gross per capita Production Index Number (2004-2006 = 100),257,"Oil, palm",2004,99.57,,Official data
QI,Production Indices,61,Equatorial Guinea,434,Gross per capita Production Index Number (2004-2006 = 100),257,"Oil, palm",2005,99.69,,Official data
